,condition
Retene_Rep1,A
Retene_Rep2,A
Retene_Rep3,A
Retene_Rep4,A
BjF_Rep1,B
BjF_Rep2,B
BjF_Rep3,B
BjF_Rep4,B
BkF_Rep1,C
BkF_Rep2,C 
BkF_Rep3,C
BkF_Rep4,C
DBahP_Rep1,D
DBahP_Rep2,D
DBahP_Rep3,D
DBahP_Rep4,D
DBaiP_Rep1,E
DBaiP_Rep2,E
DBaiP_Rep3,E
DBaiP_Rep4,E
BbF_Rep1,F
BbF_Rep2,F
BbF_Rep3,F
BbF_Rep4,F
Fluoran_Rep1,G
Fluoran_Rep2,G
Fluoran_Rep3,G
Fluoran_Rep4,G
Phenan_Rep1,H
Phenan_Rep2,H
Phenan_Rep3,H
Phenan_Rep4,H
Acenaph_Rep1,I
Acenaph_Rep2,I
Acenaph_Rep3,I
Acenaph_Rep4,I
4hCPDefP_Rep1,J
4hCPDefP_Rep2,J
4hCPDefP_Rep3,J
4hCPDefP_Rep4,J
Carbozole_Rep1,K
Carbozole_Rep2,K
Carbozole_Rep3,K
Carbozole_Rep4,K
3NF_Rep1,L
3NF_Rep2,L
3NF_Rep3,L
3NF_Rep4,L
1_5DMN_Rep1,M
1_5DMN_Rep2,M
1_5DMN_Rep3,M
1_5DMN_Rep4,M
9_MA_Rep1,N
9_MA_Rep2,N
9_MA_Rep3,N
9_MA_Rep4,N
2_MN_Rep1,O
2_MN_Rep2,O
2_MN_Rep3,O
2_MN_Rep4,O
Anthrac_Rep1,P
Anthrac_Rep2,P
Anthrac_Rep3,P
Anthrac_Rep4,P
Control1_Rep1,Q
Control1_Rep2,Q
Control1_Rep3,Q
Control1_Rep4,Q
Control2_Rep1,R
Control2_Rep2,R
Control2_Rep3,R
Control2_Rep4,R
